Style   ,Description    ,Clr,Color     ,Gender,Item Group  ,1/at once,   WIP ETA,   TOT ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,    S ,    M ,    L ,   XL 
        ,               ,   ,          ,      ,            ,2/on WIP ,          ,       ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      
BOG001  ,CREW SOCK      ,1,BLACK     ,MENS  ,ACCESSORIES ,1,          ,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,95
BOG002  ,DEGREES        ,1,BLACK     ,WOMENS,ACCESSORIES ,1,          ,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,51,0
BOG002  ,DEGREES        ,609,WINE      ,WOMENS,ACCESSORIES ,1,          ,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,11,0
BOG003  ,STRIPES        ,1,BLACK     ,WOMENS,ACCESSORIES ,1,          ,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,1,0
BOG003  ,STRIPES        ,63,BLK BERRY ,WOMENS,ACCESSORIES ,1,          ,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,7,0
BOG004  ,DEGREES        ,1,BLACK     ,WOMENS,ACCESSORIES ,1,          ,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,9,0
BOG004  ,DEGREES        ,609,WINE      ,WOMENS,ACCESSORIES ,1,          ,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
BOG005  ,STRIPES        ,1,BLACK     ,WOMENS,ACCESSORIES ,1,          ,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,8,0
BOG005  ,STRIPES        ,63,BLK BERRY ,WOMENS,ACCESSORIES ,1,          ,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0
BOG006  ,DEGREES        ,1,BLACK     ,KIDS  ,ACCESSORIES ,1,          ,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,57,0
BOG006  ,DEGREES        ,609,WINE      ,KIDS  ,ACCESSORIES ,1,          ,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,31,0
BOG007  ,STRIPES        ,1,BLACK     ,KIDS  ,ACCESSORIES ,1,          ,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,41,0
